date,open,high,low,close,volume,silver_close,copper_close,cl_close,platinum_close,DXY_Curncy,GT2_Govt,GT10_Govt,GTII10_Govt,CPI_YOY_Index,CPI_XYOY_Index,PCE_CORE_YOY_Index,PPI_YOY_Index,M2_Index,NFP_TCH_Index,USURTOT_Index,USDCNY_Curncy,CHEFTYOY_Index,CNMS2YOY_Index,GDP_CQOQ_Index,FARBAST_Index,GLD_close,GLD_volume,IAU_close,IAU_volume,GDX_close,GDX_volume,GDXJ_close,GDXJ_volume,geopolitical_value,geopolitical_confidence,invest_value,invest_confidence,geo_weighted,invest_weighted,return_1d,return_5d,return_20d,ma5,ma5_ratio,ma10,ma10_ratio,ma20,ma20_ratio,ma60,ma60_ratio,vol_5d,vol_10d,vol_20d,rsi_14,rsi_21,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_pos,atr_14,volume_ma5_ratio,gold_silver_ratio,silver_return_1d,cl_return_1d,copper_return_1d,yield_spread_10_2,breakeven_inflation,real_rate_proxy,dxy_return_1d,dxy_return_5d,geopolitical_value_ma5,geopolitical_value_diff,geopolitical_value_diff3,invest_value_ma5,invest_value_diff,invest_value_diff3,geo_weighted_ma5,geo_weighted_diff,geo_weighted_diff3,invest_weighted_ma5,invest_weighted_diff,invest_weighted_diff3,target_return_t1,target_return_t5,target_close_t1,target_dir_t1
2022-01-03,1830.0999755859373,1830.0999755859373,1798.800048828125,1799.4000244140625,116,22.790000915527344,4.414500236511231,,953.7000122070312,96.213,0.77,1.63,,7.0,5.5,,,21471.0,,,,,,7.0,8757460.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.015376183631156004,-0.004811653829626006,0.00976432346468159,1810.97998046875,-0.006394303735864693,1805.7399780273438,-0.003511000304820877,1793.904992675781,0.0030631676486307935,1798.5866556803385,0.0004522266031248279,0.14386852368249317,0.11399021722772157,0.11545839690888449,53.972096314868786,58.91295119160406,4.21426433017632,1.3044655143982484,2.9097988157780716,1826.9772379361755,1760.8327474153864,0.5830761820740219,17.70712716238836,0.4545454545454546,78.95568021276975,-0.0230623379575311,,-0.009090839032188436,0.8599999999999999,,-5.37,0.005675760426465892,0.0012487902344602286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008113802038371976,-0.0005557407949494664,1814.0,1
2022-01-04,1800.5,1815.300048828125,1800.0,1814.0,38,23.038000106811523,4.466000080108643,,970.4000244140624,96.262,0.761,1.649,,7.0,5.5,,,21471.0,,,,,,7.0,8757460.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.008113802038371976,0.0020992425868009423,0.02053445850914204,1811.739990234375,0.0012474250045850788,1807.7699829101562,0.0034462443500775652,1795.729992675781,0.010174139430057183,1799.548321533203,0.008030725429192254,0.1580035109381942,0.11662563061423957,0.11790081450010537,63.32517790109162,57.60455744320889,4.69138283936536,1.981848979391671,2.709533859973689,1829.0181973698907,1762.4417879816713,0.7744216381047044,17.557128906249968,0.16267123287671234,78.73947354418688,0.01088192985175418,,0.011666064296807388,0.888,,-5.351,0.000509286686830368,0.0006236876572212058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058434264531077584,0.0025358189558639666,1824.5999755859373,1
2022-01-05,1813.0999755859373,1824.5999755859373,1813.0999755859373,1824.5999755859373,8,23.149999618530277,4.4045000076293945,,1001.9000244140624,96.171,0.829,1.707,,7.0,5.5,,,21471.0,,,,,,7.0,8765721.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0058434264531077584,0.010802725756876796,0.023561090864592016,1815.639990234375,0.004934890947409398,1811.4399780273438,0.007264937131908011,1797.8299926757809,0.01489016370803431,1800.7149881998698,0.013264168701091705,0.15875465061244984,0.11600413002572968,0.11898035354819185,68.62981862571034,60.87758638090756,5.857312682886004,2.7569417200905377,3.1003709627954663,1832.8829609570266,1762.7770243945351,0.8818504426570514,16.607134137834787,0.07233273056057866,78.81641492756789,0.004861511902052529,,-0.013770728028681956,0.8780000000000001,,-5.293,-0.000945336685296283,0.002522699079527513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01967555896877271,0.0014249564949724292,1788.699951171875,0
2022-01-06,1787.0999755859375,1791.300048828125,1787.0999755859375,1788.699951171875,30,22.173999786376957,4.3480000495910645,,960.5999755859376,96.32,0.868,1.723,,7.0,5.5,,,21471.0,,,,,,7.0,8765721.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.01967555896877271,-0.013239918710476362,0.0029718104100362464,1810.839990234375,-0.01222639171980866,1810.1499755859375,-0.011849860344924856,1798.0949890136715,-0.005224995286233436,1801.2216532389323,-0.006951782999355394,0.21951088590628842,0.15457563263496416,0.1405164574753641,47.65299231964884,51.233314066014664,3.840220867053631,2.9735975494831566,0.8666233175704745,1832.7666959470305,1763.4232820803124,0.36451434507942204,16.749991280691916,0.5415162454873647,80.66654497715528,-0.042159820658143166,,-0.012827780211252526,0.8550000000000001,,-5.277,0.0015493236006693945,0.0036678892964321363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004640268940963033,0.018169620890696292,1797.0,1
2022-01-07,1791.800048828125,1797.0,1784.4000244140625,1797.0,17,22.393999099731445,4.402999877929688,,957.0,95.719,0.864,1.764,,7.0,5.5,,,21471.0,,,,,,7.0,8765721.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.004640268940963033,-0.016689466484268167,0.01262257676221723,1804.739990234375,-0.004288701018571595,1808.72998046875,-0.006485202653471855,1799.2149902343747,-0.0012310870276187602,1801.2766540527343,-0.0023742349866757717,0.20985449370103593,0.15386374902710917,0.14002177356300097,47.99290060559593,52.66875323081286,2.8782272327671308,2.9545234861399514,-0.07629625337282064,1832.091793073006,1766.3381873957433,0.4663137829168975,16.48570033482138,0.39719626168224303,80.2447116263975,0.009921498848829646,,0.01264945439542875,0.9,,-5.236,-0.006239617940199338,0.0005121772760530163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007790898241861743,0.01085141903171949,1798.4000244140625,1
2022-01-10,1794.9000244140625,1798.699951171875,1790.4000244140625,1798.4000244140625,534,22.44599914550781,4.3445000648498535,,934.4000244140624,95.991,0.896,1.761,,7.0,5.5,,,21471.0,,,,,,7.0,8765721.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0007790898241861743,-0.0005557407949494664,0.008693701154159683,1804.539990234375,-0.0034025102538819407,1807.7599853515626,-0.005177656886613646,1799.9899902343745,-0.0008833192567393455,1801.3049886067708,-0.0016126997988026304,0.1803194034748716,0.1539523234838807,0.13921208779732172,51.46237655275197,54.8100312724811,2.2034110653423795,2.8043010019804373,-0.6008899366380578,1831.9658803056832,1768.014100163066,0.4751380521817932,16.235691615513343,4.224683544303797,80.12118385444477,0.002322052686739129,,-0.013286353554781805,0.8649999999999999,,-5.239,0.002841651082857277,-0.0023073804995166203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011232179102341977,0.007729105997199559,1818.5999755859373,1
2022-01-11,1803.9000244140625,1822.5,1803.0,1818.5999755859373,743,22.80599975585937,4.420499801635742,,973.7999877929688,95.624,0.885,1.737,,7.0,5.5,,,21471.0,,,,,,7.0,8765721.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.011232179102341977,0.0025358189558639666,0.01808202758489652,1805.4599853515624,0.007277918281759277,1808.5999877929687,0.005529131848094115,1801.6049865722653,0.009433249319545256,1802.1616556803385,0.009121445822457552,0.19022058055146726,0.16485707474595548,0.1443027521051073,58.76641257987552,56.88390752975488,3.260990958531238,2.8956389932905977,0.3653519652406403,1833.9303917301438,1769.2795814143867,0.7628735653877335,17.3428344726562,2.7786088257292447,79.74217289198015,0.016038520184280092,,0.017493321590850375,0.8520000000000001,,-5.263,-0.0038232750987071684,-0.006627745112297689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004728898988996644,0.01347190164351919,1827.199951171875,1
2022-01-12,1819.0,1827.199951171875,1816.9000244140625,1827.199951171875,1547,23.200000762939453,4.564000129699707,,979.9000244140624,94.915,0.921,1.745,,7.0,5.5,,,21471.0,,,,,,7.0,8788278.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.004728898988996644,0.0014249564949724292,0.03208310323911756,1805.97998046875,0.011749837170186739,1810.8099853515625,0.009051179280486599,1804.4449829101559,0.012610508204589532,1803.2016540527343,0.013308715120798675,0.18842152382289346,0.1649956804613966,0.14003520827212246,57.52940999067243,57.73155053757087,4.738454842289229,3.2642021630903244,1.474252679198905,1835.1677401329994,1773.7222256873124,0.8703275733977686,16.671404157366023,2.6894993045897078,78.75861599159745,0.017276199741204312,,0.03246246680315745,0.8240000000000001,,-5.255,-0.007414456621768428,-0.013060070083497077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003283712872338862,0.008373494547387894,1821.199951171875,0
2022-01-13,1819.800048828125,1823.0,1815.4000244140625,1821.199951171875,40,23.155000686645508,4.533999919891357,,971.9000244140624,94.79,0.895,1.706,,7.0,5.5,,,21471.0,,,,,,7.0,8788278.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.003283712872338862,0.018169620890696292,0.033246327242491436,1812.47998046875,0.00481107145849391,1811.6599853515625,0.005265869918996469,1807.3749816894529,0.007649198214251696,1804.0599873860676,0.00950077264927418,0.08512748768508617,0.16548585219703368,0.1394515363953987,53.00480945575974,59.9764201942481,5.363380052159073,3.6840377409040745,1.6793423112549983,1831.8332966917892,1782.9166666871165,0.782623097304923,16.77140590122763,0.0693000693000693,78.65255439804791,-0.0019396583971595938,,-0.006573227203287457,0.8109999999999999,,-5.2940000000000005,-0.001316967813306591,-0.01588455149501644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025806892696492723,0.0058203920164994205,1816.5,0
2022-01-14,1821.5,1822.0,1816.5,1816.5,816,22.910999298095703,4.411499977111816,,964.4000244140624,95.165,0.969,1.787,,7.0,5.5,,,21471.0,,,,,,7.0,8788278.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025806892696492723,0.01085141903171949,0.011076491530938704,1816.37998046875,6.607622443577377e-05,1810.5599853515625,0.0032807610333243087,1808.3699829101558,0.004495770869167304,1804.5999877929687,0.006594265924596998,0.09452358706823907,0.16025091537577985,0.12378449581793134,52.500009082619194,60.715715820174545,5.416947800572416,4.030619752837743,1.3863280477346729,1832.600708183886,1784.1392576364258,0.6677625617337717,16.799979073660683,1.10719131614654,79.2850620038951,-0.010537740501581183,,-0.02701807343271334,0.818,,-5.213,0.003956113514083759,-0.005787774631995646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023121118479906277,0.013872805489609119,1812.300048828125,0
